Nome,Preco,Preco_promocional,Link,Data,Marca,Faixa_preco
Notebook Lenovo Thinkpad - I5 8th + 16 Gb Ddr4 + 256 Gb Ssd,2299,2299,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2agczPm2XwVVD3LhTL0yVvTCFvrNVj27xfSMmoldWKrj9l%2FuzagszB4uV8mZMr9VlOZrvRnLLipqUpvwmNgkvSuwnSBNFcreR%2Bj1dKCiWR7D6%2FnRWfqaHpDfYmK4VpRmrh38ta9fnMh%2Fp%2BWPj6n3A7qIvuajdBcwEae3LiqnlnL9ZVqiaj1e1cdyKGEQJjyIrzf0nErqYmGoMKLDjXW0zulkHCA6Vb3Kr6sq6N%2B9%2Fzk9wJtMUl%2BucD9QNzF2tRC5v1FwxILtr6OjLhVDoQ7Gj3rnS28jkhWc9nzwzO0RtRh5XZNNP0Hw%2F01Fi72q8tJkAiuTjAr7qnH9ggCy6qPKJxcVuSIq5PRku9DcWIMbe2iy0o7odcl5LprpAZGtCTDAHpv77K%2FBZ8zkXi%2FL1GGX%2FB%2Fu99SE8kTTKhzrky46eww0yon8I8K00UF9Sz4x09Smw8cFsPm1U%2Fqti7RJEnHdLMWfJq%2BWwRND6bDrL0TrKgeNjaxQQdOVb55pv0E1RcDyAbZsJM%2BYUEihs9lAtDSGnHt%2BUGk57D0Sbuj%2FQcw23AVi1BBMVUUTQsotqp4MK9KEPDwda3cyetJ5GfTzhOxduN9f%2FnsGXWJcNG1I%2BV7%2BHQIeeC403IfmyjvwRrLTShkjYn0MwogV%2B9Bf8%2Bi%2BQ79PKQ4erS0L7MTZsdUPgxB0TKBZUZY2Lq3v8CZBX5Rh8Fb5m25GrMPRqzGXyWSCbcKx9d6k0ZUMGzrHBcgnoGO%2FWjdwW8C7GF6yFGnyV1f6FrVOJLVXLdOMy16mNCTAOIPwfNZxTRfKorRyWLbPZuFyjzTunvJRhFg3Adap459I78EunV%2Fwyn%2FJ0%2FNdibQRsE4lOdole7R31dGh%2B0uci0zd6k3SQYGc&searchVariation=182841458054#polycard_client=search-nordic&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc,2025-04-25 04:25:46,lenovo,Ate 3000
Notebook Hp Elitebook 840 G7 Core I5 10ª Ger 16gb Ssd 256gb,2599,2599,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=GeYlDdBfNlzTGO%2BVFU4M6nRqqgDdCrHABY5i4YWKw4mqTS%2FnGVBMHr1%2BCGEG2IFoQJ2ZRc%2Fm60ie1vOzd7RQqvNE94hfUej7tyaTbIOtl3n%2FQ%2Flo3W80KnWMzAfhIKz3fK%2FqaNVh%2FnBSsxly7C30uySkFo4MWmPmKq7718plrCDPGoUGVCtcQmiRHp7Uyk15ETw4dgHXIO%2BfLrw%2BWKTRE1Q2y5MDDqB6gZZJAP%2F7PhpuBKrULiQEhIxMr8AM725LyNyssz0xzJmT2Jio5Z%2BUYWeCziADqUcH553snTn%2F3nelxkk4RWJyhbp7q7uHoz%2FsNXhmBCh7ygq0uiUmkGl%2FqQKCibrxcCTnPf6wAwsDqch5Mu3nou2TWnHMJfdl4%2FRK%2FXrw4tu%2B6AT%2FKW0VcTZs1xkVZTQYdc8%2FF0Nt6xnECsXAa%2BuTMVbTD%2FOCmsuZWVQmZRmhv%2BNnerQHrug29W7rC%2BOtdkKQ5VAkp3WhTite%2BQKGEyGfquyiuK5FtmPYOW8W9sNJoiu5d%2FNz2qb6vLjC6Z%2BCSs%2BDQfrqI4JzRs%2BG7Yso%2FRwGHBMyOtBnEh0HTl8vCXD3EEn%2F06psJC7eRofmMy%2BFhR9xpe2H6BK%2FX63vPTU0ppJGAi4m%2BklNkVMCKdGHs6pebxaVchPatI7SdY8vhcSNRKx81vDHegmsklOsuJcSisiRXqL8vJuEfT9GsuDr0pZhFzuQ9Rt%2FL%2FC2tc8jYCLE3FGryfuWkBh0hz2L6bWBImVGpicMDg%2FOAY8jk8JciXf%2BQq6Vq9UqfPcRUFtco8BiH1sna6g%3D#polycard_client=search-nordic&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB5014145836&sid=search,2025-04-25 04:25:46,hp,Ate 3000
"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",8165,8165,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-13geraco-512ssd-8gb-nvidia-geforce-rtx-3050-gddr6-linux-gutta-156/p/MLB37396835#polycard_client=search-nordic&searchVariation=MLB37396835&wid=MLB3976863855&position=8&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,acer,Acima de 7000
Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,6011,6011,https://www.mercadolivre.com.br/notebook-dell-156-fhd-i5-8gb-512gb-ssd-rtx-3050/p/MLB41533294#polycard_client=search-nordic&searchVariation=MLB41533294&wid=MLB4001524835&position=11&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,dell,5000-7000
Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,3599,3599,https://www.mercadolivre.com.br/notebook-acer-aspire-15-a15-51m-56kr-intel-core-i5-13420h-13-geraco-16-gb-512ssd-156-full-hd/p/MLB43513588#polycard_client=search-nordic&searchVariation=MLB43513588&wid=MLB3916333961&position=14&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,acer,3000-5000
Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,3803,3803,https://www.mercadolivre.com.br/notebook-hp-256r-g9-intel-core-i5-1335u-156-hd-intel-uhd-graphics-256gb-ssd-8gb-ram-windows-11-home-64-sl-ay6z4laak4/p/MLB42112436#polycard_client=search-nordic&searchVariation=MLB42112436&wid=MLB5329789044&position=4&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,hp,3000-5000
"Notebook VAIO FE15, Intel® Core i5 11th, 8GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE55F11XB0221H",3509,3509,https://www.mercadolivre.com.br/notebook-vaio-fe15-intel-core-i5-11th-8gb-512gb-ssd-tela-156-full-hd-antirreflexo-linux-cinza-grafite-vjfe55f11xb0221h/p/MLB36521637#polycard_client=search-nordic&searchVariation=MLB36521637&wid=MLB3988952829&position=5&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,Outros,3000-5000
"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",4117,4117,https://www.mercadolivre.com.br/notebook-acer-aspire-5-intel-core-i5-12450h-8gb-ram-256gb-ssd-windows-11-home-tela-156-full-hd-a515-57-55b8/p/MLB27956045#polycard_client=search-nordic&searchVariation=MLB27956045&wid=MLB4281077232&position=6&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,acer,3000-5000
Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,4399,4399,https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i120k-a35p-i5-16gb-1tb-156-w11/p/MLB37650721#polycard_client=search-nordic&searchVariation=MLB37650721&wid=MLB4830712680&position=7&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,dell,3000-5000
"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",3199,3199,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-core-i5-1235u-33-ghz-8gb-ram-256gb-ssd-w11-home-tela-156-nanoedge-full-hd-cool-silver-x1504za-nj985w/p/MLB36474790#polycard_client=search-nordic&searchVariation=MLB36474790&wid=MLB3690607765&position=15&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,asus,3000-5000
